rule,samples,wins,losses,win_rate,expectancy_r,profit_factor
engulf_bear AND sweep_high,158,52,96,0.3291139240506329,0.21518987341772153,1.3541666666666667
engulf_bull AND bull_fvg AND london,276,84,181,0.30434782608695654,0.10507246376811594,1.160220994475138
engulf_bear AND rejection_bear AND london,139,41,88,0.2949640287769784,0.10431654676258993,1.1647727272727273
engulf_bull AND large_body AND sweep_high,112,33,71,0.29464285714285715,0.10267857142857142,1.1619718309859155
large_body AND bull_fvg AND london,147,43,95,0.2925170068027211,0.08503401360544217,1.131578947368421
bull_fvg AND london,438,127,288,0.2899543378995434,0.06735159817351598,1.1024305555555556
engulf_bear AND bear_fvg AND ny,254,70,158,0.2755905511811024,0.06692913385826772,1.1075949367088607
engulf_bear AND bear_fvg AND overlap,201,54,125,0.26865671641791045,0.04975124378109453,1.08
engulf_bull AND large_body AND london,565,160,375,0.2831858407079646,0.04424778761061947,1.0666666666666667
sweep_high AND bull_fvg AND london,96,28,66,0.2916666666666667,0.041666666666666664,1.0606060606060606
engulf_bull AND sweep_high AND bull_fvg,140,39,93,0.2785714285714286,0.03214285714285714,1.0483870967741935
sweep_high AND bull_fvg,344,95,229,0.2761627906976744,0.024709302325581394,1.037117903930131
sweep_high,1150,312,766,0.271304347826087,0.01217391304347826,1.0182767624020888
engulf_bear AND large_body AND bear_fvg,364,96,240,0.26373626373626374,0.0,1.0
large_body AND sweep_high,286,74,187,0.25874125874125875,-0.006993006993006993,0.9893048128342246
large_body AND sweep_high AND ny,121,28,71,0.23140495867768596,-0.008264462809917356,0.9859154929577465
engulf_bull AND sweep_high,467,123,315,0.2633832976445396,-0.016059957173447537,0.9761904761904762
sweep_high AND bull_fvg AND ny,86,21,54,0.2441860465116279,-0.01744186046511628,0.9722222222222222
rejection_bear AND london,251,66,170,0.26294820717131473,-0.0199203187250996,0.9705882352941176
engulf_bear AND bear_fvg,1259,331,856,0.26290706910246225,-0.022637013502779985,0.9667056074766355
rejection_bear AND sweep_high,170,44,114,0.25882352941176473,-0.023529411764705882,0.9649122807017544
sweep_high AND ny,293,68,178,0.23208191126279865,-0.027303754266211604,0.9550561797752809
engulf_bull AND sweep_high AND london,132,36,94,0.2727272727272727,-0.030303030303030304,0.9574468085106383
engulf_bull AND london,1348,356,933,0.26409495548961426,-0.031899109792284865,0.9539121114683816
large_body AND sweep_high AND overlap,114,26,69,0.22807017543859648,-0.03508771929824561,0.9420289855072463
engulf_bear AND london,1430,373,986,0.26083916083916087,-0.03741258741258741,0.9457403651115619
large_body AND london,1403,360,954,0.25659301496792586,-0.03848895224518888,0.9433962264150944
engulf_bull,6729,1711,4549,0.25427255164214596,-0.0403477485510477,0.9403165530885909
engulf_bull AND rejection_bull AND overlap,100,24,65,0.24,-0.05,0.9230769230769231
london,4152,1068,2886,0.25722543352601157,-0.05202312138728324,0.9251559251559252
engulf_bear AND bear_fvg AND london,265,68,184,0.25660377358490566,-0.052830188679245285,0.9239130434782609
sweep_high AND london,302,80,216,0.26490066225165565,-0.052980132450331126,0.9259259259259259
engulf_bear AND large_body AND sweep_low,138,35,95,0.2536231884057971,-0.05434782608695652,0.9210526315789473
bear_fvg AND ny,414,98,268,0.23671497584541062,-0.05555555555555555,0.914179104477612
bull_fvg,2114,523,1431,0.24739829706717123,-0.05842005676442762,0.9136967155835081
engulf_bull AND large_body,2098,505,1393,0.24070543374642517,-0.06220209723546234,0.9063173007896625
large_body AND bear_fvg AND ny,164,37,103,0.22560975609756098,-0.06402439024390244,0.8980582524271845
bear_fvg AND overlap,335,77,214,0.2298507462686567,-0.06417910447761194,0.8995327102803738
bear_fvg AND ny AND overlap,335,77,214,0.2298507462686567,-0.06417910447761194,0.8995327102803738
engulf_bull AND ny,1316,293,823,0.22264437689969604,-0.06876899696048633,0.8900364520048603
engulf_bull AND overlap,1052,235,660,0.22338403041825095,-0.06891634980988594,0.8901515151515151
engulf_bull AND ny AND overlap,1052,235,660,0.22338403041825095,-0.06891634980988594,0.8901515151515151
large_body AND bear_fvg AND overlap,149,33,93,0.2214765100671141,-0.07046979865771812,0.8870967741935484
engulf_bear AND large_body AND london,574,141,394,0.2456445993031359,-0.07229965156794425,0.8946700507614214
engulf_bear AND large_body,2039,488,1378,0.23933300637567434,-0.07748896517900931,0.8853410740203193
engulf_bear AND rejection_bear,610,147,419,0.24098360655737705,-0.08442622950819673,0.8770883054892601
large_body,5192,1215,3477,0.23401386748844377,-0.08464946070878274,0.8735979292493529
engulf_bull AND large_body AND bull_fvg,406,94,271,0.2315270935960591,-0.08866995073891626,0.8671586715867159
engulf_bear,6529,1577,4529,0.24153775463317506,-0.08982998927860315,0.8705012143961139
overlap,3322,721,2101,0.21703792895845875,-0.08985550872968091,0.8579247977153737
ny AND overlap,3322,721,2101,0.21703792895845875,-0.08985550872968091,0.8579247977153737
bear_fvg,2044,497,1427,0.24315068493150685,-0.0902641878669276,0.870707778556412
engulf_bull AND bull_fvg,1327,317,913,0.23888470233609646,-0.09080633006782216,0.8680175246440307
rejection_bear AND bear_fvg,87,20,58,0.22988505747126436,-0.09195402298850575,0.8620689655172413
ny,4152,898,2634,0.21628131021194605,-0.09368978805394991,0.8523158694001519
engulf_bull AND rejection_bull AND ny,119,27,79,0.226890756302521,-0.09663865546218488,0.8544303797468354
sweep_high AND overlap,255,54,160,0.21176470588235294,-0.09803921568627451,0.84375
sweep_high AND ny AND overlap,255,54,160,0.21176470588235294,-0.09803921568627451,0.84375
engulf_bull AND rejection_bull,619,148,431,0.23909531502423265,-0.09854604200323101,0.8584686774941995
engulf_bear AND ny,1313,285,844,0.21706016755521707,-0.10015232292460015,0.8441943127962085
engulf_bull AND sweep_high AND ny,107,22,66,0.205607476635514,-0.102803738317757,0.8333333333333334
engulf_bear AND overlap,1023,219,653,0.21407624633431085,-0.10312805474095797,0.8384379785604901
engulf_bear AND ny AND overlap,1023,219,653,0.21407624633431085,-0.10312805474095797,0.8384379785604901
engulf_bear AND sweep_low,487,118,346,0.24229979466119098,-0.10472279260780287,0.8526011560693642
large_body AND bull_fvg,547,123,365,0.22486288848263253,-0.10511882998171847,0.8424657534246576
large_body AND bear_fvg,500,115,342,0.23,-0.109,0.8406432748538012
bear_fvg AND london,417,100,297,0.23980815347721823,-0.11270983213429256,0.8417508417508418
large_body AND sweep_low,294,68,204,0.23129251700680273,-0.11564625850340136,0.8333333333333334
engulf_bear AND rejection_bear AND overlap,81,17,52,0.20987654320987653,-0.11728395061728394,0.8173076923076923
rejection_bear,1182,272,830,0.23011844331641285,-0.12690355329949238,0.8192771084337349
engulf_bear AND sweep_low AND bear_fvg,140,33,101,0.2357142857142857,-0.13214285714285715,0.8168316831683168
engulf_bull AND rejection_bull AND london,128,29,90,0.2265625,-0.13671875,0.8055555555555556
engulf_bull AND large_body AND overlap,548,111,353,0.20255474452554745,-0.13777372262773724,0.7861189801699717
sweep_low,1128,262,811,0.2322695035460993,-0.13829787234042554,0.8076448828606658
large_body AND ny,1711,344,1097,0.201052016364699,-0.1385154880187025,0.7839562443026435
engulf_bear AND large_body AND ny,623,129,411,0.20706260032102727,-0.1420545746388443,0.7846715328467153
large_body AND overlap,1478,296,951,0.20027063599458728,-0.14276048714479025,0.7781282860147214
large_body AND ny AND overlap,1478,296,951,0.20027063599458728,-0.14276048714479025,0.7781282860147214
engulf_bull AND large_body AND ny,653,129,418,0.19754977029096477,-0.14624808575803983,0.7715311004784688
rejection_bull,1100,248,781,0.22545454545454546,-0.14636363636363636,0.793854033290653
rejection_bull AND london,227,51,164,0.22466960352422907,-0.16079295154185022,0.7774390243902439
engulf_bear AND large_body AND overlap,531,107,353,0.2015065913370998,-0.16101694915254236,0.7577903682719547
engulf_bear AND rejection_bear AND ny,114,22,75,0.19298245614035087,-0.17543859649122806,0.7333333333333333
rejection_bear AND bull_fvg,171,35,118,0.2046783625730994,-0.1783625730994152,0.7415254237288136
engulf_bear AND sweep_low AND london,119,26,87,0.2184873949579832,-0.18487394957983194,0.7471264367816092
rejection_bull AND bear_fvg,156,34,114,0.21794871794871795,-0.1858974358974359,0.7456140350877193
sweep_low AND overlap,242,49,168,0.2024793388429752,-0.18801652892561985,0.7291666666666666
sweep_low AND ny AND overlap,242,49,168,0.2024793388429752,-0.18801652892561985,0.7291666666666666
rejection_bear AND overlap,181,36,125,0.19889502762430938,-0.19337016574585636,0.72
rejection_bear AND ny AND overlap,181,36,125,0.19889502762430938,-0.19337016574585636,0.72
sweep_low AND bear_fvg,335,72,247,0.21492537313432836,-0.2,0.728744939271255
sweep_low AND ny,294,59,207,0.20068027210884354,-0.20238095238095238,0.7125603864734299
rejection_bull AND ny,228,43,154,0.18859649122807018,-0.20394736842105263,0.698051948051948
rejection_bull AND overlap,187,35,127,0.18716577540106952,-0.21122994652406418,0.6889763779527559
rejection_bull AND ny AND overlap,187,35,127,0.18716577540106952,-0.21122994652406418,0.6889763779527559
sweep_low AND london,303,65,227,0.2145214521452145,-0.21287128712871287,0.7158590308370044
rejection_bear AND ny,235,45,163,0.19148936170212766,-0.2148936170212766,0.6901840490797546
engulf_bull AND sweep_high AND overlap,88,16,59,0.18181818181818182,-0.2159090909090909,0.6779661016949152
large_body AND bear_fvg AND london,133,27,98,0.20300751879699247,-0.22932330827067668,0.6887755102040817
engulf_bear AND sweep_low AND overlap,100,19,71,0.19,-0.235,0.6690140845070423
bull_fvg AND ny,445,76,295,0.1707865168539326,-0.23595505617977527,0.6440677966101694
engulf_bull AND sweep_low,143,30,109,0.2097902097902098,-0.23776223776223776,0.6880733944954128
large_body AND sweep_low AND overlap,92,16,64,0.17391304347826086,-0.2608695652173913,0.625
engulf_bear AND sweep_low AND ny,121,22,87,0.18181818181818182,-0.2644628099173554,0.632183908045977
large_body AND bull_fvg AND ny,185,29,123,0.15675675675675677,-0.27297297297297296,0.5894308943089431
sweep_low AND bear_fvg AND london,80,16,62,0.2,-0.275,0.6451612903225806
bull_fvg AND overlap,369,60,253,0.16260162601626016,-0.2791327913279133,0.5928853754940712
bull_fvg AND ny AND overlap,369,60,253,0.16260162601626016,-0.2791327913279133,0.5928853754940712
large_body AND bull_fvg AND overlap,163,26,112,0.15950920245398773,-0.2883435582822086,0.5803571428571429
large_body AND sweep_low AND ny,103,17,74,0.1650485436893204,-0.3058252427184466,0.5743243243243243
rejection_bull AND sweep_low,148,28,116,0.1891891891891892,-0.3108108108108108,0.603448275862069
engulf_bull AND bull_fvg AND ny,266,37,182,0.13909774436090225,-0.33646616541353386,0.5082417582417582
sweep_low AND bear_fvg AND ny,91,14,68,0.15384615384615385,-0.3626373626373626,0.5147058823529411
engulf_bull AND bull_fvg AND overlap,217,26,157,0.11981566820276497,-0.423963133640553,0.4140127388535032
